_key,budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,ROI,release_year
3093,70000000,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",,3093,"[{""id"": 255, ""name"": ""male nudity""}, {""id"": 572, ""name"": ""sex""}, {""id"": 33649, ""name"": ""legs""}, {""id"": 161693, ""name"": ""soho london""}, {""id"": 161694, ""name"": ""playing god""}, {""id"": 161705, ""name"": ""jacuzzi""}]",en,Basic Instinct 2,"Novelist Catherine Tramell is once again in trouble with the law, and Scotland Yard appoints psychiatrist Dr. Michael Glass to evaluate her. Though, like Detective Nick Curran before him, Glass is entranced by Tramell and lured into a seductive game.",13.483387,"[{""name"": ""Intermedia Films"", ""id"": 763}, {""name"": ""Kanzaman"", ""id"": 4169}, {""name"": ""C-2 Pictures"", ""id"": 7340}, {""name"": ""IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG"", ""id"": 19116}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-03-29,38629478,114.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",Released,Everything interesting begins in the mind,Basic Instinct 2,4.6,180,-81,2006~2010
3600,65000000,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",,3600,"[{""id"": 271, ""name"": ""competition""}, {""id"": 2041, ""name"": ""island""}, {""id"": 2135, ""name"": ""radio""}, {""id"": 3345, ""name"": ""bahamas""}, {""id"": 3616, ""name"": ""college""}, {""id"": 4728, ""name"": ""knife""}, {""id"": 5420, ""name"": ""fisherman""}, {""id"": 6876, ""name"": ""vacation""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 9826, ""name"": ""murder""}, {""id"": 10776, ""name"": ""marijuana""}, {""id"": 10793, ""name"": ""resort""}, {""id"": 11221, ""name"": ""blood""}, {""id"": 12339, ""name"": ""slasher""}, {""id"": 14527, ""name"": ""storm""}, {""id"": 14692, ""name"": ""hook""}, {""id"": 15127, ""name"": ""killer""}]",en,I Still Know What You Did Last Summer,"Unfinished business with coed Julie James brings the murderer to the Bahamas to terrorize her and her friends, Karla, Tyrell and Will, during a vacation. Can Ray Bronson who survived a bloody attack alongside Julie two summers ago, get to the island in time to save everyone?",20.793026,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Mandalay Entertainment"", ""id"": 1236}, {""name"": ""Summer Knowledge LLC"", ""id"": 1464}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1998-11-13,40002112,100.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Someone is dying for a second chance.,I Still Know What You Did Last Summer,5.1,374,-62,before_2000
4258,20000000,"[{""id"": 35, ""name"": ""Comedy""}]",,4258,"[{""id"": 9663, ""name"": ""sequel""}, {""id"": 9755, ""name"": ""parody""}, {""id"": 11931, ""name"": ""spoof""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}]",en,Scary Movie 5,"Home with their newly-formed family, happy parents Dan and Jody are haunted by sinister, paranormal activities. Determined to expel the insidious force, they install security cameras and discover their family is being stalked by an evil dead demon.",36.819044,"[{""name"": ""Dimension Films"", ""id"": 7405}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2013-04-11,78378744,86.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Evil is coming. Bring protection.,Scary Movie 5,4.6,793,74,2011~2016
4442,88000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]",,4442,"[{""id"": 380, ""name"": ""brother brother relationship""}, {""id"": 2132, ""name"": ""literature""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}]",en,The Brothers Grimm,"Folklore collectors and con artists, Jake and Will Grimm, travel from village to village pretending to protect townsfolk from enchanted creatures and performing exorcisms. However, they are put to the test  when they encounter a real magical curse in a haunted forest with real magical beings, requiring genuine courage.",40.138009,"[{""name"": ""The Weinstein Company"", ""id"": 308}, {""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Mosaic Media Group"", ""id"": 748}, {""name"": ""Reforma Films"", ""id"": 1649}, {""name"": ""Dimension Films"", ""id"": 7405}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]","[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-08-26,105316267,118.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,Eliminating Evil Since 1812.,The Brothers Grimm,5.6,818,16,2006~2010
5393,47000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.happilyneverafterthefilm.com/,5393,"[{""id"": 604, ""name"": ""dwarves""}, {""id"": 995, ""name"": ""cinderella""}, {""id"": 1994, ""name"": ""wolf""}, {""id"": 2374, ""name"": ""bad mother-in-law""}, {""id"": 3071, ""name"": ""prince""}, {""id"": 3205, ""name"": ""fairy tale""}, {""id"": 4174, ""name"": ""little red riding hood""}, {""id"": 5921, ""name"": ""step mother""}, {""id"": 6333, ""name"": ""wizardry""}, {""id"": 7376, ""name"": ""princess""}, {""id"": 7430, ""name"": ""sleeping beauty""}, {""id"": 7432, ""name"": ""rumpelstilzchen""}, {""id"": 46958, ""name"": ""good and bad""}, {""id"": 174420, ""name"": ""intern""}, {""id"": 187056, ""name"": ""woman director""}]",en,Happily N'Ever After,"An alliance of evil-doers, led by Frieda, looks to take over Fairy Tale Land. But when Ella realizes her stepmother is out to ruin her storybook existence, she takes a dramatic turn and blossoms into the leader of the resistance effort.",10.410933,"[{""name"": ""Vanguard Films"", ""id"": 614}, {""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Odyssey"", ""id"": 1718}, {""name"": ""Nitrogen Studios Canada"", ""id"": 46875}]","[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-09-14,38085778,75.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Fairy Tale Endings Aren't What They Used To Be,Happily N'Ever After,4.6,104,-23,2006~2010
6278,60000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",,6278,"[{""id"": 12554, ""name"": ""dragon""}, {""id"": 34152, ""name"": ""evolution""}, {""id"": 173893, ""name"": ""fire chief""}, {""id"": 173901, ""name"": ""animated map""}, {""id"": 173903, ""name"": ""theatre audience""}, {""id"": 173905, ""name"": ""dragonslayer""}, {""id"": 173911, ""name"": ""tunnel construction""}, {""id"": 173912, ""name"": ""fire repellent""}, {""id"": 173913, ""name"": ""drilling""}, {""id"": 173914, ""name"": ""iodine""}]",en,Reign of Fire,"In post-apocalyptic England, an American volunteer and a British survivor team up to fight off a brood of fire-breathing dragons seeking to return to global dominance after centuries of rest underground. The Brit -- leading a clan of survivors to hunt down the King of the Dragons -- has much at stake: His mother was killed by a dragon, but his love is still alive.",27.615108,"[{""name"": ""The Zanuck Company"", ""id"": 80}, {""name"": ""Spyglass Entertainment"", ""id"": 158}, {""name"": ""World 2000 Entertainment"", ""id"": 7692}, {""name"": ""Touchstone Pictures"", ""id"": 9195}, {""name"": ""Tripod Entertainment"", ""id"": 22902}]","[{""iso_3166_1"": ""IE"", ""name"": ""Ireland""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-07-12,43061982,101.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Fight Fire With Fire,Reign of Fire,6.0,669,-39,2001~2005
6477,60000000,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}]",http://www.chipmunks.com,6477,"[{""id"": 637, ""name"": ""pop""}, {""id"": 3490, ""name"": ""pop star""}, {""id"": 4746, ""name"": ""record producer""}, {""id"": 4902, ""name"": ""surprise""}, {""id"": 5310, ""name"": ""approach""}, {""id"": 5774, ""name"": ""forest""}, {""id"": 6027, ""name"": ""music""}, {""id"": 6029, ""name"": ""concert""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 6706, ""name"": ""performance""}, {""id"": 10986, ""name"": ""chipmunk""}, {""id"": 11477, ""name"": ""talking animal""}, {""id"": 33475, ""name"": ""songwriter""}, {""id"": 167625, ""name"": ""talking to animals""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}]",en,Alvin and the Chipmunks,"A struggling songwriter named Dave Seville finds success when he comes across a trio of singing chipmunks: mischievous leader Alvin, brainy Simon, and chubby, impressionable Theodore.",47.336034,"[{""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Fox 2000 Pictures"", ""id"": 711}, {""name"": ""Bagdasarian Productions"", ""id"": 10930}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-12-13,361366633,92.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]",Released,Get your squeak on!,Alvin and the Chipmunks,5.5,1177,83,2006~2010
7278,30000000,"[{""id"": 35, ""name"": ""Comedy""}]",http://www.meetthespartans.com/,7278,"[{""id"": 1721, ""name"": ""fight""}, {""id"": 2011, ""name"": ""queen""}, {""id"": 3028, ""name"": ""penguin""}, {""id"": 4380, ""name"": ""black hole""}, {""id"": 5458, ""name"": ""men""}, {""id"": 6092, ""name"": ""army""}, {""id"": 171603, ""name"": ""s.a.t.""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}]",en,Meet the Spartans,"From the creators of Scary Movie and Date Movie comes this tongue-in-cheek parody of the sword-and-sandal epics, dubbed Meet the Spartans. The 20th Century Fox production was written and directed by the filmmaking team of Jason Friedberg and Aaron Seltzer. Sure, Leonidas may have nothing more than a cape and some leather underwear to protect him from the razor-sharp swords of his Persian enemies,",10.608998,"[{""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""New Regency Pictures"", ""id"": 10104}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-01-24,84646831,84.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"The Bigger the Hit, The Harder They Fall",Meet the Spartans,3.7,359,65,2006~2010
8285,60000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 878, ""name"": ""Science Fiction""}]",http://www.mycityscreams.com/,8285,"[{""id"": 1308, ""name"": ""secret identity""}, {""id"": 1621, ""name"": ""robber""}, {""id"": 2546, ""name"": ""mask""}, {""id"": 4456, ""name"": ""frog""}, {""id"": 11825, ""name"": ""based on comic strip""}, {""id"": 12415, ""name"": ""back from the dead""}]",en,The Spirit,"Down these mean streets a man must come. A hero born, murdered, and born again. When a Rookie cop named Denny Colt returns from the beyond as The Spirit, a hero whose mission is to fight against the bad forces from the shadows of Central City, the Octopus who kills anyone unfortunate enough to see his face who has other plans. He's going to wipe out the entire city.",14.84856,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Lionsgate"", ""id"": 1632}, {""name"": ""Odd Lot Entertainment"", ""id"": 3263}, {""name"": ""Media Magik Entertainment"", ""id"": 5627}, {""name"": ""Dark Lot Entertainment"", ""id"": 7375}, {""name"": ""Continental Entertainment Group (CEG)"", ""id"": 7376}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-12-25,39031337,103.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,I'm gonna kill you all kinds of dead.,The Spirit,4.7,320,-54,2006~2010
8487,170000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 37, ""name"": ""Western""}]",,8487,"[{""id"": 10028, ""name"": ""steampunk""}, {""id"": 10988, ""name"": ""based on tv series""}, {""id"": 163671, ""name"": ""steam locomotive""}, {""id"": 171636, ""name"": ""drag""}]",en,Wild Wild West,Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.,40.748915,"[{""name"": ""Todman, Simon, LeMasters Productions"", ""id"": 2507}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Peters Entertainment"", ""id"": 16774}, {""name"": ""Sonnenfeld Josephson Worldwide Entertainment"", ""id"": 57088}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1999-06-29,222104681,106.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,It's a whole new west.,Wild Wild West,5.1,1020,23,before_2000
8814,60000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 27, ""name"": ""Horror""}]",,8814,"[{""id"": 3822, ""name"": ""teleportation""}, {""id"": 41645, ""name"": ""based on video game""}, {""id"": 162482, ""name"": ""severed ear""}, {""id"": 162484, ""name"": ""future war""}, {""id"": 162487, ""name"": ""wisecrack humor""}, {""id"": 162491, ""name"": ""commando mission""}]",en,Doom,"A team of space marines known as the Rapid Response Tactical Squad, led by Sarge, is sent to a science facility on Mars after somebody reports a security breach. There, they learn that the alert came after a test subject, a mass murderer purposefully injected with alien DNA, broke free and began killing people. Dr. Grimm, who is related to team member Reaper, informs them all that the chromosome can mutate humans into monsters -- and is highly infectious.",29.261348,"[{""name"": ""Di Bonaventura Pictures"", ""id"": 435}, {""name"": ""John Wells Productions"", ""id"": 1512}, {""name"": ""Reaper Productions"", ""id"": 2539}, {""name"": ""Stillking Films"", ""id"": 11345}, {""name"": ""Babelsberg Film"", ""id"": 19481}, {""name"": ""Doom Productions"", ""id"": 19922}, {""name"": ""Distant Planet Productions"", ""id"": 19923}]","[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-10-20,55987321,105.0,"[{""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,No one gets out alive.,Doom,5.0,609,-7,2006~2010
8966,37000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",http://www.twilightthemovie.com,8966,"[{""id"": 815, ""name"": ""soulmates""}, {""id"": 3133, ""name"": ""vampire""}, {""id"": 3691, ""name"": ""forbidden love""}, {""id"": 4978, ""name"": ""immortality""}, {""id"": 14782, ""name"": ""trust""}, {""id"": 33513, ""name"": ""desire""}, {""id"": 179431, ""name"": ""duringcreditsstinger""}, {""id"": 187056, ""name"": ""woman director""}, {""id"": 212760, ""name"": ""interspecies romance""}, {""id"": 223438, ""name"": ""based on young adult novel""}, {""id"": 231407, ""name"": ""fang vamp""}]",en,Twilight,"When Bella Swan moves to a small town in the Pacific Northwest to live with her father, she starts school and meets the reclusive Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't help but fall in love with him, a fatal move that endangers her own life when a coven of bloodsuckers try to challenge the Cullen clan.",127.084938,"[{""name"": ""Summit Entertainment"", ""id"": 491}, {""name"": ""Maverick Films"", ""id"": 4000}, {""name"": ""Imprint Entertainment"", ""id"": 5218}, {""name"": ""Goldcrest Pictures"", ""id"": 11843}, {""name"": ""Temple Hill Entertainment"", ""id"": 12292}, {""name"": ""Twilight Productions"", ""id"": 57750}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-11-20,392616625,122.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"When you can live forever, what do you live for?",Twilight,5.8,3561,91,2006~2010
9016,140000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",,9016,"[{""id"": 679, ""name"": ""cyborg""}, {""id"": 818, ""name"": ""based on novel""}, {""id"": 1826, ""name"": ""space marine""}, {""id"": 1860, ""name"": ""mutiny""}, {""id"": 1872, ""name"": ""loss of father""}, {""id"": 1969, ""name"": ""map""}, {""id"": 4418, ""name"": ""pirate gang""}, {""id"": 6956, ""name"": ""treasure hunt""}, {""id"": 9736, ""name"": ""little boy""}, {""id"": 9882, ""name"": ""space""}, {""id"": 9951, ""name"": ""alien""}, {""id"": 10336, ""name"": ""animation""}, {""id"": 10594, ""name"": ""money""}, {""id"": 11088, ""name"": ""treasure map""}, {""id"": 13194, ""name"": ""planet""}, {""id"": 156316, ""name"": ""troubled teen""}, {""id"": 196483, ""name"": ""space pirate""}]",en,Treasure Planet,"When space galleon cabin boy Jim Hawkins discovers a map to an intergalactic ""loot of a thousand worlds,"" a cyborg cook named John Silver teaches him to battle supernovas and space storms. But, soon, Jim realizes Silver is a pirate intent on mutiny!",38.924136,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Feature Animation"", ""id"": 10217}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2002-11-26,109578115,95.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Find your place in the universe.,Treasure Planet,7.2,948,-28,2001~2005
9624,50000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]",,9624,"[{""id"": 1721, ""name"": ""fight""}, {""id"": 3355, ""name"": ""inuit""}, {""id"": 5175, ""name"": ""petrol""}, {""id"": 6129, ""name"": ""company""}, {""id"": 9880, ""name"": ""alaska""}, {""id"": 161318, ""name"": ""enviromental""}]",en,On Deadly Ground,"Forrest Taft is an environmental agent who works for the Aegis Oil Company in Alaska. Aegis Oil's corrupt CEO, Michael Jennings, is the kind of person who doesn't care whether or not oil spills into the ocean or onto the land, just as long as it's making money for him.",9.114168,"[{""name"": ""Warner Bros."", ""id"": 6194}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1994-02-18,49000000,102.0,"[{""iso_639_1"": ""cs"", ""name"": ""\u010cesk\u00fd""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,His Battle To Save The Alaskan Wilderness And Protect Its People Can Only Be Won...,On Deadly Ground,4.5,104,-2,before_2000
9760,20000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",,9760,[],en,Epic Movie,"When Edward, Peter, Lucy and Susan each follow their own path, they end up finding themselves at Willy's Chocolate factory. Walking through a wardrobe, they discover the world of Gnarnia, which is ruled by the White Bitch. Meeting up with characters such as Harry Potter and Captain Jack Swallows, the newly reunited family must team up with Aslo, a wise-but-horny lion to stop the white bitch's army",6.064638,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""New Regency Pictures"", ""id"": 10104}, {""name"": ""Paul Schiff Productions"", ""id"": 23596}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-01-25,86865564,86.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,We know it's big. We measured.,Epic Movie,3.2,326,77,2006~2010
9823,30000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",,9823,"[{""id"": 779, ""name"": ""martial arts""}, {""id"": 1002, ""name"": ""authority""}, {""id"": 12380, ""name"": ""tournament""}, {""id"": 14643, ""name"": ""battle""}, {""id"": 14955, ""name"": ""fighting""}, {""id"": 41645, ""name"": ""based on video game""}, {""id"": 188955, ""name"": ""hand to hand combat""}]",en,Mortal Kombat: Annihilation,"A group of heroic warriors has only six days to save the planet in ""Mortal Kombat Annihilation."" To succeed they must survive the most spectacular series of challenges any human, or god, has ever encountered as they battle an evil warlord bent on taking control of Earth. Sequel to the film ""Mortal Kombat,"" and based on the popular video game.",11.916389,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Threshold Entertainment"", ""id"": 4174}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",1997-11-21,51376861,95.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"The world was created in six days, so too shall it be destroyed and on the seventh day mankind will rest... in peace",Mortal Kombat: Annihilation,3.8,221,42,before_2000
9947,43000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",http://marvel.com/movies/movie/13/elektra,9947,"[{""id"": 779, ""name"": ""martial arts""}, {""id"": 9717, ""name"": ""based on comic book""}, {""id"": 12367, ""name"": ""female assassin""}, {""id"": 15285, ""name"": ""spin off""}]",en,Elektra,"Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.",28.613892,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Epsilon Motion Pictures"", ""id"": 1171}, {""name"": ""New Regency Pictures"", ""id"": 10104}, {""name"": ""Marvel Enterprises"", ""id"": 19551}, {""name"": ""Horseshoe Bay Productions"", ""id"": 19552}, {""name"": ""Elektra Productions"", ""id"": 19553}, {""name"": ""SAI Productions"", ""id"": 19554}]","[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-01-13,56681566,97.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}]",Released,Looks can kill,Elektra,4.8,575,24,2006~2010
10048,135000000,"[{""id"": 28, ""name"": ""Action""}]",,10048,"[{""id"": 310, ""name"": ""artificial intelligence""}, {""id"": 4410, ""name"": ""u.s. navy""}, {""id"": 179430, ""name"": ""aftercreditsstinger""}]",en,Stealth,"Deeply ensconced in a top-secret military program, three pilots struggle to bring an artificial intelligence program under control ... before it initiates the next world war.",17.88953,"[{""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Original Film"", ""id"": 333}, {""name"": ""Columbia Pictures Corporation"", ""id"": 441}, {""name"": ""Phoenix Pictures"", ""id"": 11317}, {""name"": ""AFG Talons Productions"", ""id"": 19523}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2005-07-28,76932943,121.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""ko"", ""name"": ""\ud55c\uad6d\uc5b4/\uc870\uc120\ub9d0""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,Fear The Sky,Stealth,4.9,331,-75,2006~2010
10073,20000000,"[{""id"": 35, ""name"": ""Comedy""}]",,10073,"[{""id"": 248, ""name"": ""date""}, {""id"": 2913, ""name"": ""diary""}, {""id"": 3453, ""name"": ""parents-in-law""}, {""id"": 3583, ""name"": ""bridegroom""}, {""id"": 13027, ""name"": ""wedding""}]",en,Date Movie,"Spoof of romantic comedies which focuses on a man (Campbell), his crush (Hannigan), his parents (Coolidge, Willard), and her father (Griffin).",10.098722,"[{""name"": ""Regency Enterprises"", ""id"": 508}, {""name"": ""Epsilon Motion Pictures"", ""id"": 1171}, {""name"": ""New Regency Pictures"", ""id"": 10104}]","[{""iso_3166_1"": ""CH"", ""name"": ""Switzerland""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-02-17,48548426,83.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,An Unprotected Comedy,Date Movie,3.6,222,59,2006~2010
10152,19000000,"[{""id"": 35, ""name"": ""Comedy""}]",,10152,"[{""id"": 390, ""name"": ""skateboarding""}, {""id"": 2393, ""name"": ""adoption""}, {""id"": 6054, ""name"": ""friendship""}, {""id"": 10855, ""name"": ""fate""}]",en,Dumb and Dumberer: When Harry Met Lloyd,"This wacky prequel to the 1994 blockbuster goes back to the lame-brained Harry and Lloyd's days as classmates at a Rhode Island high school, where the unprincipled principal puts the pair in remedial courses as part of a scheme to fleece the school.",15.67747,"[{""name"": ""New Line Cinema"", ""id"": 12}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2003-06-13,39267515,85.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The evolution of dumb...,Dumb and Dumberer: When Harry Met Lloyd,4.1,210,52,2001~2005
10253,70000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",,10253,"[{""id"": 3891, ""name"": ""giant snake""}, {""id"": 10586, ""name"": ""korea""}, {""id"": 34128, ""name"": ""building""}, {""id"": 46950, ""name"": ""dagger""}, {""id"": 158540, ""name"": ""south korea""}]",ko,디워,"Based on the Korean legend, unknown creatures will return and devastate the planet. Reporter Ethan Kendrick is called in to investigate the matter...",4.822033,"[{""name"": ""Younggu-Art Movies"", ""id"": 6366}, {""name"": ""Showbox Entertainment"", ""id"": 11420}]","[{""iso_3166_1"": ""KR"", ""name"": ""South Korea""}]",2007-02-08,53587404,90.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ko"", ""name"": ""\ud55c\uad6d\uc5b4/\uc870\uc120\ub9d0""}]",Released,They've made our world their battleground,Dragon Wars: D-War,4.0,104,-31,2006~2010
